player_id,short_name,long_name,age,dob,height_cm,weight_kg,fifa_version,fifa_update,update_as_of,player_positions,overall,potential,value_eur,club_name,league_name,nationality_name,preferred_foot,skill_moves,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,skill_dribbling,skill_long_passing,skill_ball_control,movement_acceleration,movement_agility,power_shot_power,power_long_shots,mentality_positioning,mentality_vision,defending_marking_awareness,defending_standing_tackle,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
32,P. Dybala,Paulo Bruno Exequiel Dybala,29,1993-11-15,177,75,24.0,2.0,2023-09-22,"CF, CAM",86,86,68000000.0,Roma,Serie A,Argentina,Left,4,85.0,85.0,90.0,40.0,60.0,82,83,58,86,90,79,93,84,88,84,89,82,91,32,41,5,8,81+3,81+3,81+3,86,85,85,85,86,87-1,87-1,87-1,85+1,81+3,81+3,81+3,85+1,66+3,63+3,63+3,63+3,66+3,61+3,51+3,51+3,51+3,61+3,14+3
33,A. Onana,André Onana,27,1996-04-02,190,93,24.0,2.0,2023-09-22,GK,85,86,46000000.0,Manchester United,Premier League,Cameroon,Right,1,,,,,,15,12,20,43,26,53,38,62,66,66,17,11,64,12,18,84,85,37+3,37+3,37+3,37,39,39,39,37,42+3,42+3,42+3,40+3,42+3,42+3,42+3,40+3,32+3,37+3,37+3,37+3,32+3,32+3,32+3,32+3,32+3,32+3,83+3
34,A. Robertson,Andrew Robertson,29,1994-03-11,178,64,24.0,2.0,2023-09-22,LB,86,86,59500000.0,Liverpool,Premier League,Scotland,Left,3,61.0,82.0,81.0,81.0,77.0,87,55,67,82,81,76,83,82,75,76,65,80,82,82,83,7,14,72+3,72+3,72+3,79,78,78,78,79,79+3,79+3,79+3,81+3,81+3,81+3,81+3,81+3,84+2,82+3,82+3,82+3,84+2,83+3,79+3,79+3,79+3,83+3,18+3
35,B. Babić,Boris Babić,25,1997-11-10,180,82,24.0,2.0,2023-09-22,ST,64,69,875000.0,Lugano,Super League,Switzerland,Right,3,61.0,50.0,64.0,27.0,68.0,46,63,64,52,62,36,62,79,74,63,53,66,63,35,18,8,16,64+2,64+2,64+2,63,64,64,64,63,61+2,61+2,61+2,61+2,52+2,52+2,52+2,61+2,45+2,42+2,42+2,42+2,45+2,44+2,42+2,42+2,42+2,44+2,18+2
36,Bruno Fernandes,Bruno Miguel Borges Fernandes,28,1994-09-08,179,69,24.0,2.0,2023-09-22,"CAM, CM",88,88,92000000.0,Manchester United,Premier League,Portugal,Right,4,86.0,90.0,83.0,69.0,77.0,87,83,66,90,81,92,88,74,78,88,88,88,94,69,74,8,14,82+3,82+3,82+3,85,85,85,85,85,87+1,87+1,87+1,86+2,88,88,88,86+2,79+3,81+3,81+3,81+3,79+3,77+3,73+3,73+3,73+3,77+3,21+3
37,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,28,1994-08-10,173,64,24.0,2.0,2023-09-22,"CM, RW",88,88,91500000.0,Manchester City,Premier League,Portugal,Left,4,78.0,86.0,92.0,70.0,69.0,84,78,54,91,92,82,91,78,95,79,79,85,87,70,76,12,9,78+3,78+3,78+3,85,84,84,84,85,87+1,87+1,87+1,86+2,87+1,87+1,87+1,86+2,80+3,80+3,80+3,80+3,80+3,76+3,70+3,70+3,70+3,76+3,19+3
38,R. De Paul,Rodrigo Javier De Paul,29,1994-05-24,180,70,24.0,2.0,2023-09-22,CM,84,84,41000000.0,Atlético Madrid,La Liga,Argentina,Right,4,77.0,83.0,82.0,75.0,83.0,78,76,58,85,82,85,85,80,78,80,78,78,86,72,81,7,14,77+3,77+3,77+3,81,81,81,81,81,82+2,82+2,82+2,82+2,84,84,84,82+2,81+3,82+2,82+2,82+2,81+3,79+3,77+3,77+3,77+3,79+3,19+3
39,N. Barella,Nicolò Barella,26,1997-02-07,175,68,24.0,2.0,2023-09-22,CM,86,88,83500000.0,Inter,Serie A,Italy,Right,3,78.0,82.0,85.0,78.0,80.0,79,78,53,86,81,83,87,79,90,77,79,83,83,80,79,14,11,78+3,78+3,78+3,83,82,82,82,83,84+3,84+3,84+3,83+3,85+3,85+3,85+3,83+3,83+3,84+3,84+3,84+3,83+3,82+3,78+3,78+3,78+3,82+3,19+3
40,G. Mancini,Gianluca Mancini,27,1996-04-17,190,77,24.0,2.0,2023-09-22,CB,83,85,38500000.0,Roma,Serie A,Italy,Right,2,45.0,54.0,62.0,83.0,86.0,34,48,83,67,55,68,76,59,34,51,34,32,51,84,84,6,8,60+2,60+2,60+2,56,58,58,58,56,58+2,58+2,58+2,60+2,66+2,66+2,66+2,60+2,73+2,78+2,78+2,78+2,73+2,75+2,83+2,83+2,83+2,75+2,18+2
41,Rúben Dias,Rúben dos Santos Gato Alves Dias,26,1997-05-14,187,82,24.0,2.0,2023-09-22,CB,89,90,106500000.0,Manchester City,Premier League,Portugal,Right,2,39.0,66.0,69.0,89.0,87.0,54,29,87,83,64,76,75,54,60,74,26,39,51,91,91,7,12,61+3,61+3,61+3,60,61,61,61,60,62+3,62+3,62+3,64+3,70+3,70+3,70+3,64+3,78+3,83+3,83+3,83+3,78+3,80+3,88+2,88+2,88+2,80+3,18+3
42,M. Locatelli,Manuel Locatelli,25,1998-01-08,185,75,24.0,2.0,2023-09-22,"CDM, CM",82,86,38500000.0,Juventus,Serie A,Italy,Right,3,70.0,80.0,78.0,79.0,80.0,73,62,68,85,79,83,83,65,65,79,82,68,82,80,83,10,15,73+2,73+2,73+2,75,76,76,76,75,78+2,78+2,78+2,77+2,81+2,81+2,81+2,77+2,79+2,81+2,81+2,81+2,79+2,78+2,78+2,78+2,78+2,78+2,19+2
43,M. Zaccagni,Mattia Zaccagni,28,1995-06-16,177,63,24.0,2.0,2023-09-22,LW,82,82,30500000.0,Lazio,Serie A,Italy,Right,4,77.0,74.0,88.0,57.0,67.0,72,79,66,78,89,75,86,89,92,78,76,79,77,55,58,8,7,79+2,79+2,79+2,82,82,82,82,82,82,82,82,81+1,78+2,78+2,78+2,81+1,71+2,69+2,69+2,69+2,71+2,69+2,63+2,63+2,63+2,69+2,19+2
44,G. Vicario,Guglielmo Vicario,26,1996-10-07,188,76,24.0,2.0,2023-09-22,GK,82,85,30500000.0,Tottenham Hotspur,Premier League,Italy,Right,1,,,,,,11,6,11,27,12,27,14,34,40,59,5,8,69,23,11,83,85,24+2,24+2,24+2,23,26,26,26,23,28+2,28+2,28+2,25+2,28+2,28+2,28+2,25+2,22+2,25+2,25+2,25+2,22+2,22+2,23+2,23+2,23+2,22+2,81+2
45,Dani Olmo,Daniel Olmo Carvajal,25,1998-05-07,179,72,24.0,2.0,2023-09-22,"CAM, CF",83,87,50500000.0,RB Leipzig,Bundesliga,Spain,Right,4,76.0,82.0,86.0,50.0,59.0,78,74,43,86,87,79,86,77,86,79,77,82,85,50,50,12,11,75+3,75+3,75+3,81,81,81,81,81,83+3,83+3,83+3,81+3,80+3,80+3,80+3,81+3,69+3,68+3,68+3,68+3,69+3,64+3,56+3,56+3,56+3,64+3,21+3
46,K. Havertz,Kai Lukas Havertz,24,1999-06-11,190,82,24.0,2.0,2023-09-22,"CAM, RW, ST",82,87,46000000.0,Arsenal,Premier League,Germany,Left,4,79.0,79.0,83.0,45.0,68.0,74,81,80,83,84,79,85,75,75,76,78,83,81,39,46,10,12,81+3,81+3,81+3,81,82,82,82,81,82+3,82+3,82+3,81+3,78+3,78+3,78+3,81+3,65+3,63+3,63+3,63+3,65+3,62+3,56+3,56+3,56+3,62+3,17+3
47,T. Alexander-Arnold,Trent Alexander-Arnold,24,1998-10-07,180,69,24.0,2.0,2023-09-22,RB,86,88,81000000.0,Liverpool,Premier League,England,Right,3,69.0,90.0,79.0,80.0,73.0,93,62,69,88,78,91,84,73,72,82,75,78,90,79,83,6,7,75+3,75+3,75+3,80,79,79,79,80,82+3,82+3,82+3,83+3,85+3,85+3,85+3,83+3,84+3,83+3,83+3,83+3,84+3,83+3,78+3,78+3,78+3,83+3,19+3
48,A. Bastoni,Alessandro Bastoni,24,1999-04-13,190,75,24.0,2.0,2023-09-22,CB,85,90,73500000.0,Inter,Serie A,Italy,Left,2,35.0,72.0,73.0,86.0,83.0,70,26,83,78,73,82,76,68,58,49,37,39,69,87,87,11,12,59+2,59+2,59+2,65,63,63,63,65,66+2,66+2,66+2,69+2,73+2,73+2,73+2,69+2,80+2,82+2,82+2,82+2,80+2,81+2,84+2,84+2,84+2,81+2,18+2
49,G. Donnarumma,Gianluigi Donnarumma,24,1999-02-25,196,90,24.0,2.0,2023-09-22,GK,87,90,85000000.0,Paris Saint Germain,Ligue 1,Italy,Right,1,,,,,,12,12,12,36,28,34,30,50,64,59,18,14,60,20,14,83,89,34+3,34+3,34+3,34,36,36,36,34,38+3,38+3,38+3,35+3,37+3,37+3,37+3,35+3,31+3,34+3,34+3,34+3,31+3,30+3,31+3,31+3,31+3,30+3,85+3
50,E. Brignola,Enrico Brignola,23,1999-07-08,168,71,24.0,2.0,2023-09-22,"RM, CAM",64,69,875000.0,Catanzaro,Serie B,Italy,Left,3,59.0,62.0,67.0,35.0,58.0,60,57,50,62,66,60,66,81,81,65,58,57,61,32,31,8,5,61+2,61+2,61+2,64,63,63,63,64,63+2,63+2,63+2,63+2,59+2,59+2,59+2,63+2,52+2,50+2,50+2,50+2,52+2,50+2,45+2,45+2,45+2,50+2,14+2
51,F. Grillo,Fausto Grillo,26,1993-02-20,181,78,20.0,2.0,2019-09-19,"CB, LB",67,71,875000.0,Göztepe,Super Lig,Argentina,Left,2,35.0,48.0,62.0,65.0,74.0,48,33,67,55,63,31,55,71,70,32,36,44,53,66,66,13,14,52+2,52+2,52+2,55,53,53,53,55,54+2,54+2,54+2,56+2,53+2,53+2,53+2,56+2,62+2,59+2,59+2,59+2,62+2,63+2,66+2,66+2,66+2,63+2,18+2
52,R. Borré,Rafael Santos Borré Maury,27,1995-09-15,174,70,24.0,2.0,2023-09-22,ST,76,76,8000000.0,Werder Bremen,Bundesliga,Colombia,Right,3,75.0,74.0,77.0,45.0,76.0,71,75,74,77,75,69,76,83,84,79,73,78,78,44,45,11,8,76,76,76,76,76,76,76,76,76,76,76,76,73+2,73+2,73+2,76,62+2,62+2,62+2,62+2,62+2,59+2,57+2,57+2,57+2,59+2,18+2
53,Evander,Evander da Silva Ferreira,25,1998-06-09,178,73,24.0,2.0,2023-09-22,"CM, CAM",75,79,8000000.0,Portland Timbers,Major League Soccer,Brazil,Right,4,71.0,75.0,79.0,67.0,68.0,73,69,51,76,79,75,78,76,83,77,71,71,75,71,68,11,6,70+2,70+2,70+2,75,74,74,74,75,75+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,72+2,72+2,72+2,72+2,72+2,70+2,66+2,66+2,66+2,70+2,16+2
54,Matheus Pereira,Matheus Pereira da Silva,25,1998-02-25,181,68,24.0,2.0,2023-09-22,CDM,71,77,2600000.0,SD Eibar,La Liga 2,Brazil,Left,3,64.0,69.0,75.0,66.0,68.0,59,65,52,74,77,72,75,66,81,58,71,61,69,62,72,9,10,66+2,66+2,66+2,70,69,69,69,70,71+2,71+2,71+2,70+2,72+2,72+2,72+2,70+2,69+2,70+2,70+2,70+2,69+2,68+2,67+2,67+2,67+2,68+2,17+2
55,F. Arancibia,Francisco Andrés Arancibia Silva,21,1996-12-11,170,62,19.0,2.0,2018-08-21,"RW, LW",68,80,1600000.0,Universidad de Chile,Primera Division,Chile,Left,3,50.0,65.0,72.0,34.0,35.0,66,51,32,66,72,61,64,88,92,52,48,65,69,31,36,10,11,58+1,58+1,58+1,68,66,66,66,68,67+1,67+1,67+1,67+1,61+1,61+1,61+1,67+1,53+1,49+1,49+1,49+1,53+1,50+1,39+1,39+1,39+1,50+1,19+1
56,M. de Ligt,Matthijs de Ligt,23,1999-08-12,189,89,24.0,2.0,2023-09-22,CB,86,89,83000000.0,FC Bayern München,Bundesliga,Netherlands,Right,2,61.0,64.0,68.0,85.0,86.0,52,50,85,79,65,78,73,62,53,84,75,44,45,87,85,12,10,68+3,68+3,68+3,63,65,65,65,63,65+3,65+3,65+3,65+3,70+3,70+3,70+3,65+3,76+3,80+3,80+3,80+3,76+3,78+3,85+3,85+3,85+3,78+3,19+3
