id_player,short_name,numberOfLikes,numberOfFollowers
188567,p.aubameyang,506,580
189125,g.bonaventura,554,581
189271,f.coquelin,281,490
189505,p.pedro,201,447
189596,t.muller,668,791
189881,c.smalling,486,704
190460,c.eriksen,560,779
190674,b.andre,254,549
190717,m.antonio,326,528
190765,p.gross,306,599
190813,s.elshaarawy,447,572
191043,a.sandro,424,479
191740,a.herrera,347,517
192318,m.gotze,441,599
192505,r.lukaku,429,699
192638,m.alonso,384,544
192883,h.mkhitaryan,311,596
193198,n.gudelj,425,599
193476,r.cabella,243,494
193747,k.koke,444,682
195086,d.lovren,444,528
196978,c.wilson,508,684
197445,d.alaba,465,761
197781,i.isco,240,545
197891,j.juanmi,367,580
198032,d.burn,423,649
198164,j.viera,505,516
198176,s.devrij,498,654
198451,d.rodriguez,319,418
198706,l.alberto,375,633
198950,p.sarabia,336,547
199439,m.gregoritsch,246,547
199576,o.romeu,578,580
199845,f.acerbi,548,649
200458,l.digne,377,654
200724,n.fernandez,420,664
200888,d.pereira,410,659
201119,i.ismaily,335,473
201305,g.paulista,485,542
201455,g.kondogbia,399,634
201519,j.veretout,384,612
202024,r.freuler,492,574
202335,e.dier,405,561
202648,s.darder,635,710
202651,s.suso,448,562
202652,r.sterling,501,768
202695,j.tarkowski,404,576
202884,l.spinazzola,387,574
203263,h.maguire,356,669
203747,h.bellerin,366,568
204311,k.zouma,489,671
204525,i.martinez,453,590
204614,m.rui,489,569
204639,s.savic,367,556
204923,m.sabitzer,364,642
205175,a.milik,473,666
205431,n.fullkrug,483,605
205452,a.rudiger,413,718
205498,j.jorginho,618,739
205569,j.wardprowse,738,718
205632,l.ocampos,313,627
205923,b.davies,276,512
206113,s.gnabry,577,793
206517,j.grealish,515,800
206590,m.gomez,395,559
207421,l.trossard,732,816
207566,w.carvalho,407,571
207616,a.webster,440,614
207863,f.felipe,368,513
208004,j.veltman,455,613
208093,g.moreno,550,668
208128,h.calhanoglu,621,728
208135,a.doucoure,438,628
208268,b.cristante,350,705
208450,a.pereira,371,658
208461,m.deroon,349,583
208574,f.kostic,322,648
208596,a.belotti,393,556
208618,l.vazquez,385,618
208777,o.torres,307,547
208787,a.thomasson,492,618
208920,n.ake,625,759
209331,M. Salah,445,903
209519,g.laborde,323,660
209658,l.goretzka,427,764
209889,r.guerreiro,642,679
209989,t.partey,415,796
210047,f.schar,302,653
210315,r.detomas,272,608
210324,j.hofmann,530,661
210406,p.zielinski,226,654
210413,a.romagnoli,391,742
210514,j.cancelo,481,738
210736,e.emerson,559,653
210897,c.mbemba,206,587
211022,r.garcia,381,591
211110,p.dybala,536,847
211256,n.tagliafico,392,531
211300,a.martial,482,727
211575,a.gomes,361,598
212096,v.grifo,572,669
212187,p.max,331,503
212190,n.sule,561,769
212194,j.brandt,841,794
212242,r.andrich,257,624
212622,J. Kimmich,640,871
212811,m.lemina,673,669
213331,j.tah,550,787
213345,k.coman,459,823
213661,a.christensen,433,679
213666,r.loftuscheek,373,602
213955,s.azmoun,449,599
213991,j.lerma,511,682
214097,b.bourigeaud,447,609
214997,a.correa,474,754
215333,d.zapata,260,560
215441,s.guirassy,263,591
215590,a.perez,366,521
216150,d.zappacosta,458,578
216201,i.williams,637,689
216393,y.tielemans,750,740
216409,m.politano,276,631
216447,a.garcia,485,594
216460,j.gimenez,455,679
216549,a.sorloth,444,614
216816,g.simeone,325,611
218339,m.dahoud,397,591
219581,s.gigot,241,510
219683,c.tolisso,456,535
219693,d.carlos,436,680
219733,l.ajorque,433,559
219789,h.traore,530,603
219792,b.santamaria,331,582
219932,a.sanabria,417,568
220093,h.hateboer,396,550
220440,c.lenglet,474,583
220621,s.benrahma,483,588
220651,a.angelino,425,608
220697,j.maddison,556,860
220714,p.billing,212,562
220814,l.hernandez,554,800
220834,m.asensio,315,647
221284,j.gradit,420,600
221342,p.maffeo,242,554
221479,d.calvertlewin,287,636
221697,o.watkins,584,704
222104,t.adarabioyo,590,665
222331,l.klostermann,547,606
222492,l.sane,432,711
222501,t.castagne,383,566
222509,d.ceballos,282,579
222558,r.karsdorp,497,671
222665,m.odegaard,505,952
223197,e.unal,347,681
223273,m.pasalic,551,632
223671,s.posch,345,565
223710,v.muriqi,239,592
223790,s.becker,451,580
224081,k.phillips,347,669
224158,s.amrabat,257,638
224221,j.andersen,377,659
224309,j.jordan,406,545
224334,m.acuna,441,638
224371,j.bowen,610,775
224411,g.guedes,706,710
224425,m.wolf,351,581
225085,j.bamba,359,621
225100,j.gomez,574,649
225126,e.skhiri,650,671
225193,m.merino,304,773
225201,a.berenguer,405,693
225375,k.laimer,607,734
225659,g.rodriguez,340,689
226161,m.llorente,438,798
226166,n.mukiele,529,627
226221,a.elustondo,351,609
226226,g.locelso,550,746
226456,p.fornals,279,614
226491,k.tierney,490,674
226710,g.scamacca,345,644
226754,i.bennacer,614,808
226851,b.pavard,482,750
227174,m.cash,494,668
227535,r.bentancur,439,735
227678,e.konsa,571,688
227796,c.pulisic,494,672
227813,o.zinchenko,805,788
227928,n.semedo,243,559
228093,m.thuram,397,708
228618,f.mendy,807,786
228708,l.martinezquarta,326,621
228813,a.garcia,726,711
228941,a.silva,347,641
229237,m.akanji,273,691
229261,d.zakaria,340,652
229391,j.palhinha,484,755
229558,d.upamecano,438,659
229668,m.hermoso,441,752
229880,a.wanbissaka,452,623
229891,j.ryerson,426,611
229906,l.bailey,800,764
229942,a.disasi,780,767
230658,a.melo,434,631
230666,g.jesus,558,844
230899,a.lookman,688,760
230918,t.chalobah,510,574
230978,t.awoniyi,599,676
231102,l.blas,537,648
231340,g.montiel,356,615
231352,t.abraham,316,719
231443,o.dembele,661,825
231478,L. Martinez,364,860
231521,e.palacios,460,688
231591,j.galan,478,610
231627,u.sadiq,431,630
231633,i.diop,485,632
231677,m.rashford,401,796
231747,K. Mbappe,532,909
231936,b.white,404,729
232293,V. Osimhen,562,963
232487,w.endo,582,700
232488,c.romero,475,834
232580,g.magalhaes,652,798
232639,r.doan,274,576
232656,t.hernandez,444,773
232658,d.doekhi,365,601
232905,j.ito,172,489
232938,t.tomiyasu,547,642
233049,j.sancho,437,754
233064,m.mount,651,749
233084,n.molina,492,749
233152,k.itakura,265,563
233419,r.raphinha,563,862
233486,r.lenormand,439,780
233500,l.sinisterra,621,609
233556,r.orsolini,258,559
233731,a.isak,498,739
233927,l.paqueta,688,791
234112,d.dodo,564,645
234153,c.soler,407,647
234236,p.schick,570,759
234396,a.davies,427,768
234574,d.dalot,663,705
234742,h.barnes,734,774
234824,y.wissa,490,665
234943,f.neuhaus,352,570
235008,l.robertone,432,595
235173,i.sangare,545,719
235212,a.hakimi,344,716
235407,s.ozcan,306,636
235410,y.ennesyri,325,691
235432,m.munetsi,425,583
235781,s.comesana,555,605
235790,k.havertz,501,772
235794,e.eze,433,731
235844,e.alvarez,419,718
235997,f.beltran,295,581
236015,m.gibbswhite,385,570
236276,a.danjuma,400,619
236401,n.mazraoui,497,766
236480,y.bissouma,562,706
236496,m.guendouzi,487,645
236499,d.luiz,349,709
236699,s.lukic,511,672
236772,d.soboslai,854,829
236786,m.terrier,331,662
236791,a.barak,366,609
236804,f.medina,457,617
236920,j.kluivert,454,602
237161,s.longstaff,395,639
237221,j.foyth,568,666
237238,s.mctominay,256,646
237646,d.munoz,250,540
237678,i.konate,461,760
237681,t.kubo,612,719
237692,p.foden,696,796
237819,n.dominguez,499,644
237942,p.estupinan,530,712
237985,k.danso,352,670
238067,n.zaniolo,445,687
238095,n.milenkovic,434,616
238216,c.gallagher,580,709
238717,e.pinnock,419,572
239053,F. Valverde,552,867
239085,E. Haaland,487,947
239231,m.cucurella,455,643
239770,n.casale,257,558
239807,d.frattesi,280,594
240130,e.militao,536,798
240243,m.cunha,445,748
240452,m.nzola,422,682
240638,t.reijnders,834,735
240679,t.koopmeiners,427,646
240690,n.gonzalez,714,746
240709,r.baku,395,588
240753,a.gouiri,505,643
240833,y.moukoko,214,550
241042,o.skipp,383,609
241084,l.diaz,627,892
241095,n.vlasic,368,569
241461,f.torres,413,744
241464,p.torres,301,692
241486,j.kounde,697,788
241637,a.tchouameni,637,827
241721,r.leao,690,818
241852,m.diaby,434,767
242000,k.mavropanos,509,635
242201,l.milla,378,514
242434,c.jones,507,699
242444,j.felix,321,702
242516,c.gakpo,371,700
242577,r.faivre,305,616
242578,b.badiashile,542,610
242664,a.saelemaekers,353,598
243014,b.mbeumo,389,714
243241,a.buongiorno,600,632
243576,p.porro,335,703
243630,j.david,479,672
243715,w.saliba,404,724
243812,r.rodrygo,724,868
243854,m.simakan,473,718
244261,l.majer,490,735
244263,a.rrahmani,282,615
244309,t.teuma,287,537
244749,n.aguerd,380,658
244892,s.diop,356,620
245279,s.reguilon,695,691
245388,j.todibo,296,599
245630,y.fofana,415,595
245741,j.lindstrom,338,612
246104,r.gravenberch,248,604
246172,s.chukwueze,402,665
246174,h.elliott,344,626
246191,j.alvarez,411,714
246242,b.dia,468,713
246350,e.lefee,229,530
246430,d.vlahovic,678,785
246646,m.caqueret,322,607
246669,b.saka,474,810
246764,m.camara,297,588
246785,b.gil,484,666
246863,f.nmecha,287,589
247090,e.fernandez,419,709
247131,a.espino,307,545
247246,k.thuram,504,646
247263,e.tapsoba,649,783
247394,d.kulusevski,235,681
247463,f.balogun,395,610
247635,k.kvaratskhelia,582,762
247819,n.schlotterbeck,528,715
247827,m.olise,415,633
247851,b.guimaraes,839,907
248243,e.camavinga,598,742
251445,s.lino,559,649
251566,g.martinelli,443,823
251852,k.adeyemi,317,688
251854,p.pedri,674,832
251892,b.beto,325,643
252059,s.samed,448,665
252371,j.bellingham,808,929
253002,g.raspadori,308,622
253004,a.fati,303,624
253072,d.nunez,358,691
253124,m.nunes,252,622
253163,r.araujo,895,895
254566,p.wimmer,590,635
254796,n.madueke,421,604
255000,t.moffi,483,704
255001,n.rovella,377,632
255223,a.adli,444,628
255253,v.vitinha,394,708
255475,a.antony,581,764
256079,m.caicedo,358,651
256197,p.hincapie,389,623
256261,m.thiaw,618,680
256516,n.williams,444,620
256630,f.wirtz,374,797
256790,j.musiala,717,825
256903,g.ramos,429,697
257278,a.theate,385,582
258648,c.augusto,382,641
259197,n.jackson,283,638
260407,e.wahi,479,657
261204,m.uzuni,372,580
262138,c.lukeba,656,662
263781,v.vanderson,475,621
264240,g.gavi,643,793
264453,m.vandeven,300,669
269312,t.baldanzi,389,536
900166,i.toney,547,678
