player_id,short_name,long_name,age,dob,height_cm,weight_kg,fifa_version,fifa_update,update_as_of,player_positions,overall,potential,value_eur,club_name,league_name,nationality_name,preferred_foot,skill_moves,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,skill_dribbling,skill_long_passing,skill_ball_control,movement_acceleration,movement_agility,power_shot_power,power_long_shots,mentality_positioning,mentality_vision,defending_marking_awareness,defending_standing_tackle,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
13,a.alisson,Alisson Ramsés Becker,30,10/2/1992,193,91,24,2,9/22/2023,GK,89,90,77500000,Liverpool,Premier League,Brazil,Right,1,,,,,,17,13,29,60,27,58,42,60,40,64,14,13,66,15,19,90,89,39+3,39+3,39+3,39,42,42,42,39,45+3,45+3,45+3,42+3,46+3,46+3,46+3,42+3,34+3,39+3,39+3,39+3,34+3,33+3,33+3,33+3,33+3,33+3,87+3
14,t.courtois,Thibaut Nicolas Marc Courtois,31,5/11/1992,199,96,24,2,9/22/2023,GK,90,90,63000000,Real Madrid,La Liga,Belgium,Left,1,,,,,,14,14,13,33,13,35,23,42,63,57,17,13,44,20,18,90,93,32+3,32+3,32+3,30,31,31,31,30,32+3,32+3,32+3,31+3,33+3,33+3,33+3,31+3,29+3,31+3,31+3,31+3,29+3,29+3,29+3,29+3,29+3,29+3,88+2
15,e.martinez,Damián Emiliano Martínez,30,9/2/1992,195,88,24,2,9/22/2023,GK,85,85,36000000,Aston Villa,Premier League,Argentina,Right,1,,,,,,22,16,26,57,17,59,38,59,49,62,16,12,66,11,20,84,85,37+3,37+3,37+3,37,39,39,39,37,43+3,43+3,43+3,41+3,45+3,45+3,45+3,41+3,35+3,39+3,39+3,39+3,35+3,34+3,33+3,33+3,33+3,34+3,83+2
16,s.russo,Stefano Russo,23,6/29/2000,183,75,24,2,9/22/2023,"CDM, CB",64,72,1200000,Viktoria KÃ¶ln,3. Liga,Germany,Right,2,53,57,61,61,73,50,43,55,65,59,61,63,61,66,69,62,44,50,59,63,7,13,56+2,56+2,56+2,56,56,56,56,56,57+2,57+2,57+2,57+2,60+2,60+2,60+2,57+2,61+2,63+2,63+2,63+2,61+2,61+2,63+2,63+2,63+2,61+2,15+2
17,j.oblak,Jan Oblak,30,1/7/1993,188,87,24,2,9/22/2023,GK,88,88,61000000,AtlÃ©tico Madrid,La Liga,Slovenia,Right,1,,,,,,13,11,15,43,12,40,30,42,64,59,12,11,67,27,14,86,87,32+3,32+3,32+3,32,34,34,34,32,37+3,37+3,37+3,34+3,39+3,39+3,39+3,34+3,32+3,37+3,37+3,37+3,32+3,32+3,34+3,34+3,34+3,32+3,86+2
18,a.griezmann,Antoine Griezmann,32,3/21/1991,176,73,24,2,9/22/2023,"ST, CF",88,88,74000000,AtlÃ©tico Madrid,La Liga,France,Left,4,88,87,88,58,75,82,90,85,89,88,86,89,80,89,85,87,90,88,45,63,13,14,87+1,87+1,87+1,87,88,88,88,87,88,88,88,87+1,85+3,85+3,85+3,87+1,75+3,74+3,74+3,74+3,75+3,73+3,68+3,68+3,68+3,73+3,21+3
19,h.kane,Harry Kane,29,7/28/1993,188,85,24,2,9/22/2023,ST,90,90,119500000,FC Bayern MÃ¼nchen,Bundesliga,England,Right,3,93,84,83,49,83,80,95,89,87,82,88,87,67,66,93,87,94,87,46,46,14,11,89+1,89+1,89+1,84,87,87,87,84,86+3,86+3,86+3,85+3,83+3,83+3,83+3,85+3,67+3,69+3,69+3,69+3,67+3,64+3,63+3,63+3,63+3,64+3,20+3
20,v.vandijk,Virgil van Dijk,31,7/8/1991,193,92,24,2,9/22/2023,CB,89,89,70500000,Liverpool,Premier League,Netherlands,Right,2,60,71,72,89,86,53,52,86,79,70,86,76,66,59,81,64,47,65,90,91,11,11,70+3,70+3,70+3,67,69,69,69,67,70+3,70+3,70+3,70+3,75+3,75+3,75+3,70+3,79+3,84+3,84+3,84+3,79+3,81+3,88+1,88+1,88+1,81+3,20+3
21,m.salah,Mohamed Salah Ghaly,31,6/15/1992,175,71,24,2,9/22/2023,RW,89,89,85500000,Liverpool,Premier League,Egypt,Left,4,87,81,88,45,76,80,92,59,84,88,77,86,89,89,82,84,92,84,38,43,11,14,85+3,85+3,85+3,88,87,87,87,88,87+2,87+2,87+2,87+2,82+3,82+3,82+3,87+2,71+3,68+3,68+3,68+3,71+3,67+3,58+3,58+3,58+3,67+3,22+3
22,l.goretzka,Leon Christoph Goretzka,28,2/6/1995,189,82,24,2,9/22/2023,"CM, CDM",85,85,54000000,FC Bayern MÃ¼nchen,Bundesliga,Germany,Right,3,81,81,83,80,86,75,81,86,85,84,83,84,75,75,85,86,84,82,74,83,11,9,83+2,83+2,83+2,82,83,83,83,82,83+2,83+2,83+2,82+3,84+1,84+1,84+1,82+3,81+3,83+2,83+2,83+2,81+3,81+3,83+2,83+2,83+2,81+3,19+3
23,j.kimmich,Joshua Walter Kimmich,28,2/8/1995,177,75,24,2,9/22/2023,"CDM, RB, CM",88,89,88000000,FC Bayern MÃ¼nchen,Bundesliga,Germany,Right,3,74,88,84,82,79,91,68,72,88,82,91,85,77,84,78,83,80,85,82,84,15,15,77+3,77+3,77+3,82,81,81,81,82,83+3,83+3,83+3,83+3,86+3,86+3,86+3,83+3,84+3,86+3,86+3,86+3,84+3,83+3,81+3,81+3,81+3,83+3,21+3
24,r.varane,Raphaël Varane,30,4/25/1993,191,81,24,2,9/22/2023,CB,85,85,44000000,Manchester United,Premier League,France,Right,2,49,64,67,86,78,42,46,85,78,61,76,76,75,62,52,53,55,59,88,87,5,14,66+3,66+3,66+3,65,66,66,66,65,67+3,67+3,67+3,66+3,71+3,71+3,71+3,66+3,75+3,80+3,80+3,80+3,75+3,78+3,84+1,84+1,84+1,78+3,19+3
25,m.depay,Memphis Depay,29,2/13/1994,176,78,24,2,9/22/2023,"CF, LW, ST",84,84,42000000,AtlÃ©tico Madrid,La Liga,Netherlands,Right,5,82,81,85,30,80,84,82,65,80,86,75,85,81,81,85,82,85,85,23,31,12,10,82+2,82+2,82+2,84,83,83,83,84,83+1,83+1,83+1,83+1,77+3,77+3,77+3,83+1,61+3,59+3,59+3,59+3,61+3,56+3,50+3,50+3,50+3,56+3,19+3
26,t.werner,Timo Werner,27,3/6/1996,180,76,24,2,9/22/2023,ST,82,83,35500000,RB Leipzig,Bundesliga,Germany,Right,3,80,70,82,35,69,69,78,75,79,82,55,83,93,79,85,77,86,68,39,20,15,9,81+2,81+2,81+2,81,82,82,82,81,79+3,79+3,79+3,80+3,71+3,71+3,71+3,80+3,61+3,56+3,56+3,56+3,61+3,58+3,50+3,50+3,50+3,58+3,19+3
27,d.berardi,Domenico Berardi,28,8/1/1994,183,72,24,2,9/22/2023,"RW, RM",85,85,54500000,Sassuolo,Serie A,Italy,Left,4,83,81,87,36,72,78,85,62,85,86,79,87,82,92,83,80,86,83,42,30,5,6,81+2,81+2,81+2,84,84,84,84,84,85,85,85,84+1,78+2,78+2,78+2,84+1,63+2,62+2,62+2,62+2,63+2,58+2,52+2,52+2,52+2,58+2,14+2
28,a.rabiot,Adrien Rabiot,28,4/3/1995,191,80,24,2,9/22/2023,"CM, LM",84,84,42000000,Juventus,Serie A,France,Left,3,76,80,80,82,84,73,72,79,85,80,84,85,76,69,86,78,82,83,80,84,7,15,80+2,80+2,80+2,80,81,81,81,80,81+2,81+2,81+2,81+2,84,84,84,81+2,82+2,83+1,83+1,83+1,82+2,81+2,82+2,82+2,82+2,81+2,19+2
29,j.stones,John Stones,29,5/28/1994,188,76,24,2,9/22/2023,"CB, RB",85,86,49500000,Manchester City,Premier League,England,Right,3,52,75,77,85,77,63,54,84,86,75,79,84,67,66,55,44,52,78,86,86,10,8,68+2,68+2,68+2,71,71,71,71,71,74+2,74+2,74+2,74+2,78+2,78+2,78+2,74+2,80+2,83+2,83+2,83+2,80+2,81+2,84+2,84+2,84+2,81+2,18+2
30,s.lobotka,Stanislav Lobotka,28,11/25/1994,170,64,24,2,9/22/2023,"CM, CDM",84,84,42000000,Napoli,Serie A,Slovakia,Right,3,70,81,83,77,75,75,70,45,85,82,85,86,76,77,73,77,78,85,78,82,13,14,73+2,73+2,73+2,79,79,79,79,79,81+2,81+2,81+2,80+2,84,84,84,80+2,80+2,82+2,82+2,82+2,80+2,79+2,76+2,76+2,76+2,79+2,19+2
31,f.dimarco,Federico Dimarco,25,11/10/1997,175,75,24,2,9/22/2023,"LWB, LM, CB",82,85,37000000,Inter,Serie A,Italy,Left,3,71,80,79,74,71,85,69,49,80,78,78,84,81,74,69,76,81,77,77,76,7,7,73+2,73+2,73+2,79,78,78,78,79,79+2,79+2,79+2,80+2,80+2,80+2,80+2,80+2,80+2,78+2,78+2,78+2,80+2,78+2,73+2,73+2,73+2,78+2,16+2
32,p.dybala,Paulo Bruno Exequiel Dybala,29,11/15/1993,177,75,24,2,9/22/2023,"CF, CAM",86,86,68000000,Roma,Serie A,Argentina,Left,4,85,85,90,40,60,82,83,58,86,90,79,93,84,88,84,89,82,91,32,41,5,8,81+3,81+3,81+3,86,85,85,85,86,87-1,87-1,87-1,85+1,81+3,81+3,81+3,85+1,66+3,63+3,63+3,63+3,66+3,61+3,51+3,51+3,51+3,61+3,14+3
33,a.onana,André Onana,27,4/2/1996,190,93,24,2,9/22/2023,GK,85,86,46000000,Manchester United,Premier League,Cameroon,Right,1,,,,,,15,12,20,43,26,53,38,62,66,66,17,11,64,12,18,84,85,37+3,37+3,37+3,37,39,39,39,37,42+3,42+3,42+3,40+3,42+3,42+3,42+3,40+3,32+3,37+3,37+3,37+3,32+3,32+3,32+3,32+3,32+3,32+3,83+3
34,a.robertson,Andrew Robertson,29,3/11/1994,178,64,24,2,9/22/2023,LB,86,86,59500000,Liverpool,Premier League,Scotland,Left,3,61,82,81,81,77,87,55,67,82,81,76,83,82,75,76,65,80,82,82,83,7,14,72+3,72+3,72+3,79,78,78,78,79,79+3,79+3,79+3,81+3,81+3,81+3,81+3,81+3,84+2,82+3,82+3,82+3,84+2,83+3,79+3,79+3,79+3,83+3,18+3
35,b.babic,Boris Babi?,25,11/10/1997,180,82,24,2,9/22/2023,ST,64,69,875000,Lugano,Super League,Switzerland,Right,3,61,50,64,27,68,46,63,64,52,62,36,62,79,74,63,53,66,63,35,18,8,16,64+2,64+2,64+2,63,64,64,64,63,61+2,61+2,61+2,61+2,52+2,52+2,52+2,61+2,45+2,42+2,42+2,42+2,45+2,44+2,42+2,42+2,42+2,44+2,18+2
36,b.fernandes,Bruno Miguel Borges Fernandes,28,9/8/1994,179,69,24,2,9/22/2023,"CAM, CM",88,88,92000000,Manchester United,Premier League,Portugal,Right,4,86,90,83,69,77,87,83,66,90,81,92,88,74,78,88,88,88,94,69,74,8,14,82+3,82+3,82+3,85,85,85,85,85,87+1,87+1,87+1,86+2,88,88,88,86+2,79+3,81+3,81+3,81+3,79+3,77+3,73+3,73+3,73+3,77+3,21+3
37,b.silva,Bernardo Mota Veiga de Carvalho e Silva,28,8/10/1994,173,64,24,2,9/22/2023,"CM, RW",88,88,91500000,Manchester City,Premier League,Portugal,Left,4,78,86,92,70,69,84,78,54,91,92,82,91,78,95,79,79,85,87,70,76,12,9,78+3,78+3,78+3,85,84,84,84,85,87+1,87+1,87+1,86+2,87+1,87+1,87+1,86+2,80+3,80+3,80+3,80+3,80+3,76+3,70+3,70+3,70+3,76+3,19+3
38,r.depaul,Rodrigo Javier De Paul,29,5/24/1994,180,70,24,2,9/22/2023,CM,84,84,41000000,AtlÃ©tico Madrid,La Liga,Argentina,Right,4,77,83,82,75,83,78,76,58,85,82,85,85,80,78,80,78,78,86,72,81,7,14,77+3,77+3,77+3,81,81,81,81,81,82+2,82+2,82+2,82+2,84,84,84,82+2,81+3,82+2,82+2,82+2,81+3,79+3,77+3,77+3,77+3,79+3,19+3
39,n.barella,Nicolò Barella,26,2/7/1997,175,68,24,2,9/22/2023,CM,86,88,83500000,Inter,Serie A,Italy,Right,3,78,82,85,78,80,79,78,53,86,81,83,87,79,90,77,79,83,83,80,79,14,11,78+3,78+3,78+3,83,82,82,82,83,84+3,84+3,84+3,83+3,85+3,85+3,85+3,83+3,83+3,84+3,84+3,84+3,83+3,82+3,78+3,78+3,78+3,82+3,19+3
40,g.mancini,Gianluca Mancini,27,4/17/1996,190,77,24,2,9/22/2023,CB,83,85,38500000,Roma,Serie A,Italy,Right,2,45,54,62,83,86,34,48,83,67,55,68,76,59,34,51,34,32,51,84,84,6,8,60+2,60+2,60+2,56,58,58,58,56,58+2,58+2,58+2,60+2,66+2,66+2,66+2,60+2,73+2,78+2,78+2,78+2,73+2,75+2,83+2,83+2,83+2,75+2,18+2
41,r.dias,Rúben dos Santos Gato Alves Dias,26,5/14/1997,187,82,24,2,9/22/2023,CB,89,90,106500000,Manchester City,Premier League,Portugal,Right,2,39,66,69,89,87,54,29,87,83,64,76,75,54,60,74,26,39,51,91,91,7,12,61+3,61+3,61+3,60,61,61,61,60,62+3,62+3,62+3,64+3,70+3,70+3,70+3,64+3,78+3,83+3,83+3,83+3,78+3,80+3,88+2,88+2,88+2,80+3,18+3
42,m.locatelli,Manuel Locatelli,25,1/8/1998,185,75,24,2,9/22/2023,"CDM, CM",82,86,38500000,Juventus,Serie A,Italy,Right,3,70,80,78,79,80,73,62,68,85,79,83,83,65,65,79,82,68,82,80,83,10,15,73+2,73+2,73+2,75,76,76,76,75,78+2,78+2,78+2,77+2,81+2,81+2,81+2,77+2,79+2,81+2,81+2,81+2,79+2,78+2,78+2,78+2,78+2,78+2,19+2
43,m.zaccagni,Mattia Zaccagni,28,6/16/1995,177,63,24,2,9/22/2023,LW,82,82,30500000,Lazio,Serie A,Italy,Right,4,77,74,88,57,67,72,79,66,78,89,75,86,89,92,78,76,79,77,55,58,8,7,79+2,79+2,79+2,82,82,82,82,82,82,82,82,81+1,78+2,78+2,78+2,81+1,71+2,69+2,69+2,69+2,71+2,69+2,63+2,63+2,63+2,69+2,19+2
44,g.vicario,Guglielmo Vicario,26,10/7/1996,188,76,24,2,9/22/2023,GK,82,85,30500000,Tottenham Hotspur,Premier League,Italy,Right,1,,,,,,11,6,11,27,12,27,14,34,40,59,5,8,69,23,11,83,85,24+2,24+2,24+2,23,26,26,26,23,28+2,28+2,28+2,25+2,28+2,28+2,28+2,25+2,22+2,25+2,25+2,25+2,22+2,22+2,23+2,23+2,23+2,22+2,81+2
45,d.olmo,Daniel Olmo Carvajal,25,5/7/1998,179,72,24,2,9/22/2023,"CAM, CF",83,87,50500000,RB Leipzig,Bundesliga,Spain,Right,4,76,82,86,50,59,78,74,43,86,87,79,86,77,86,79,77,82,85,50,50,12,11,75+3,75+3,75+3,81,81,81,81,81,83+3,83+3,83+3,81+3,80+3,80+3,80+3,81+3,69+3,68+3,68+3,68+3,69+3,64+3,56+3,56+3,56+3,64+3,21+3
46,k.havertz,Kai Lukas Havertz,24,6/11/1999,190,82,24,2,9/22/2023,"CAM, RW, ST",82,87,46000000,Arsenal,Premier League,Germany,Left,4,79,79,83,45,68,74,81,80,83,84,79,85,75,75,76,78,83,81,39,46,10,12,81+3,81+3,81+3,81,82,82,82,81,82+3,82+3,82+3,81+3,78+3,78+3,78+3,81+3,65+3,63+3,63+3,63+3,65+3,62+3,56+3,56+3,56+3,62+3,17+3
47,t.alexanderarnold,Trent Alexander-Arnold,24,10/7/1998,180,69,24,2,9/22/2023,RB,86,88,81000000,Liverpool,Premier League,England,Right,3,69,90,79,80,73,93,62,69,88,78,91,84,73,72,82,75,78,90,79,83,6,7,75+3,75+3,75+3,80,79,79,79,80,82+3,82+3,82+3,83+3,85+3,85+3,85+3,83+3,84+3,83+3,83+3,83+3,84+3,83+3,78+3,78+3,78+3,83+3,19+3
48,a.bastoni,Alessandro Bastoni,24,4/13/1999,190,75,24,2,9/22/2023,CB,85,90,73500000,Inter,Serie A,Italy,Left,2,35,72,73,86,83,70,26,83,78,73,82,76,68,58,49,37,39,69,87,87,11,12,59+2,59+2,59+2,65,63,63,63,65,66+2,66+2,66+2,69+2,73+2,73+2,73+2,69+2,80+2,82+2,82+2,82+2,80+2,81+2,84+2,84+2,84+2,81+2,18+2
49,g.donnarumma,Gianluigi Donnarumma,24,2/25/1999,196,90,24,2,9/22/2023,GK,87,90,85000000,Paris Saint Germain,Ligue 1,Italy,Right,1,,,,,,12,12,12,36,28,34,30,50,64,59,18,14,60,20,14,83,89,34+3,34+3,34+3,34,36,36,36,34,38+3,38+3,38+3,35+3,37+3,37+3,37+3,35+3,31+3,34+3,34+3,34+3,31+3,30+3,31+3,31+3,31+3,30+3,85+3
50,e.brignola,Enrico Brignola,23,7/8/1999,168,71,24,2,9/22/2023,"RM, CAM",64,69,875000,Catanzaro,Serie B,Italy,Left,3,59,62,67,35,58,60,57,50,62,66,60,66,81,81,65,58,57,61,32,31,8,5,61+2,61+2,61+2,64,63,63,63,64,63+2,63+2,63+2,63+2,59+2,59+2,59+2,63+2,52+2,50+2,50+2,50+2,52+2,50+2,45+2,45+2,45+2,50+2,14+2
51,f.grillo,Fausto Grillo,26,2/20/1993,181,78,20,2,9/19/2019,"CB, LB",67,71,875000,GÃ¶ztepe,Super Lig,Argentina,Left,2,35,48,62,65,74,48,33,67,55,63,31,55,71,70,32,36,44,53,66,66,13,14,52+2,52+2,52+2,55,53,53,53,55,54+2,54+2,54+2,56+2,53+2,53+2,53+2,56+2,62+2,59+2,59+2,59+2,62+2,63+2,66+2,66+2,66+2,63+2,18+2
52,r.borre,Rafael Santos Borré Maury,27,9/15/1995,174,70,24,2,9/22/2023,ST,76,76,8000000,Werder Bremen,Bundesliga,Colombia,Right,3,75,74,77,45,76,71,75,74,77,75,69,76,83,84,79,73,78,78,44,45,11,8,76,76,76,76,76,76,76,76,76,76,76,76,73+2,73+2,73+2,76,62+2,62+2,62+2,62+2,62+2,59+2,57+2,57+2,57+2,59+2,18+2
53,e.evander,Evander da Silva Ferreira,25,6/9/1998,178,73,24,2,9/22/2023,"CM, CAM",75,79,8000000,Portland Timbers,Major League Soccer,Brazil,Right,4,71,75,79,67,68,73,69,51,76,79,75,78,76,83,77,71,71,75,71,68,11,6,70+2,70+2,70+2,75,74,74,74,75,75+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,72+2,72+2,72+2,72+2,72+2,70+2,66+2,66+2,66+2,70+2,16+2
54,m.pereira,Matheus Pereira da Silva,25,2/25/1998,181,68,24,2,9/22/2023,CDM,71,77,2600000,SD Eibar,La Liga 2,Brazil,Left,3,64,69,75,66,68,59,65,52,74,77,72,75,66,81,58,71,61,69,62,72,9,10,66+2,66+2,66+2,70,69,69,69,70,71+2,71+2,71+2,70+2,72+2,72+2,72+2,70+2,69+2,70+2,70+2,70+2,69+2,68+2,67+2,67+2,67+2,68+2,17+2
55,f.arancibia,Francisco Andrés Arancibia Silva,21,12/11/1996,170,62,19,2,8/21/2018,"RW, LW",68,80,1600000,Universidad de Chile,Primera Division,Chile,Left,3,50,65,72,34,35,66,51,32,66,72,61,64,88,92,52,48,65,69,31,36,10,11,58+1,58+1,58+1,68,66,66,66,68,67+1,67+1,67+1,67+1,61+1,61+1,61+1,67+1,53+1,49+1,49+1,49+1,53+1,50+1,39+1,39+1,39+1,50+1,19+1
56,m.deligt,Matthijs de Ligt,23,8/12/1999,189,89,24,2,9/22/2023,CB,86,89,83000000,FC Bayern MÃ¼nchen,Bundesliga,Netherlands,Right,2,61,64,68,85,86,52,50,85,79,65,78,73,62,53,84,75,44,45,87,85,12,10,68+3,68+3,68+3,63,65,65,65,63,65+3,65+3,65+3,65+3,70+3,70+3,70+3,65+3,76+3,80+3,80+3,80+3,76+3,78+3,85+3,85+3,85+3,78+3,19+3
57,d.jota,Diogo José Teixeira da Silva,26,12/4/1996,178,68,24,2,9/22/2023,"CF, LW",85,87,67500000,Liverpool,Premier League,Portugal,Right,4,82,75,85,57,77,73,85,86,77,85,72,84,85,86,86,76,87,78,53,57,9,11,84+2,84+2,84+2,82,84,84,84,82,82+2,82+2,82+2,81+2,78+2,78+2,78+2,81+2,70+2,69+2,69+2,69+2,70+2,68+2,66+2,66+2,66+2,68+2,19+2
58,f.chiesa,Federico Chiesa,25,10/25/1997,175,70,24,2,9/22/2023,"LM, LW, RW",84,85,50500000,Juventus,Serie A,Italy,Right,4,82,76,86,53,75,75,81,50,78,89,72,82,91,89,86,84,83,77,60,48,9,7,80+3,80+3,80+3,83,83,83,83,83,82+3,82+3,82+3,83+2,77+3,77+3,77+3,83+2,71+3,68+3,68+3,68+3,71+3,67+3,61+3,61+3,61+3,67+3,16+3
59,k.mbappe,Kylian Mbappé Lottin,24,12/20/1998,182,75,24,2,9/22/2023,"ST, LW",91,94,181500000,Paris Saint Germain,Ligue 1,France,Right,5,90,80,92,36,78,78,94,73,86,93,71,92,97,93,90,83,93,83,26,34,11,6,90+3,90+3,90+3,91,91,91,91,91,89+3,89+3,89+3,89+3,81+3,81+3,81+3,89+3,68+3,63+3,63+3,63+3,68+3,63+3,54+3,54+3,54+3,63+3,18+3
60,r.bentancur,Rodrigo Bentancur Colmán,26,6/25/1997,187,73,24,2,9/22/2023,"CM, CDM",82,85,39500000,Tottenham Hotspur,Premier League,Uruguay,Right,4,67,81,83,79,77,76,66,65,85,85,83,85,70,70,69,65,72,83,79,83,14,12,73+2,73+2,73+2,77,77,77,77,77,79+2,79+2,79+2,79+2,82+2,82+2,82+2,79+2,80+2,82+2,82+2,82+2,80+2,79+2,78+2,78+2,78+2,79+2,18+2
